n_min,Expected,Actual_Mean,Actual_SD,diff
22,0.1,NaN,NaN,NaN
22,0.2,0.215788127278,0.0156763332646762,0.015788127278
22,0.3,0.307559247042,0.0232917287971475,0.00755924704200006
22,0.4,0.406421972112,0.0306643745728512,0.00642197211200002
22,0.5,0.50216535509,0.0361605805427801,0.00216535508999993
22,0.6,0.595851246535,0.0424456024269033,0.00414875346500021
22,0.7,0.693039108512,0.0479468585205768,0.00696089148800016
22,0.8,0.794631871551,0.0537616731220359,0.0053681284489997
22,0.9,0.900175684619,0.0584165365152427,0.00017568461899975
22,0.99,0.988257163204,0.0619001619983048,0.00174283679599996
24,0.1,NaN,NaN,NaN
24,0.2,0.215610109744,0.0158766404950039,0.015610109744
24,0.3,0.307510588556,0.0234215202572321,0.00751058855599995
24,0.4,0.405996901519,0.0289841030646508,0.00599690151900006
24,0.5,0.501636431671,0.0380759600317518,0.00163643167099981
24,0.6,0.599499673796,0.0419939531253213,0.000500326203999757
24,0.7,0.691041751568,0.0474853963752137,0.00895824843199988
24,0.8,0.796703488769,0.0541620804335811,0.00329651123099961
24,0.9,0.89988356514,0.0608659997400635,0.000116434859999903
24,0.99,0.989256668783,0.062004198402868,0.000743331217000098
26,0.1,NaN,NaN,NaN
26,0.2,0.21520573505,0.015755188238849,0.0152057350500001
26,0.3,0.308887908637,0.0228532947185393,0.00888790863700001
26,0.4,0.405705373002,0.0304675951028258,0.00570537300199997
26,0.5,0.501679554996,0.0360522658847809,0.00167955499600025
26,0.6,0.600194237645,0.0426468924006068,0.000194237644999817
26,0.7,0.694170957305,0.0482358561373322,0.00582904269499995
26,0.8,0.796516362473,0.0540265000202322,0.00348363752699987
26,0.9,0.89879302093,0.0565760903011777,0.00120697906999978
26,0.99,0.986870169339,0.0631159467312861,0.00312983066099981
